,source,target
0,850946013263273987,768168025937752064
1,850946013263273987,1620606686670065664
2,850946013263273987,1423771899222536193
3,850946013263273987,1502090100498661376
4,850946013263273987,1320633302525513728
5,850946013263273987,624845023
6,850946013263273987,1272032230827716609
7,850946013263273987,2889473923
8,850946013263273987,1186503108735709184
9,850946013263273987,769066987918155777
10,850946013263273987,1203972326083006464
11,850946013263273987,398056342
12,850946013263273987,1148614255396024320
13,768168025937752064,1169222157517221889
14,768168025937752064,1007274570884116481
15,768168025937752064,979347954308960256
16,768168025937752064,844170050168934400
17,768168025937752064,919949058906583040
18,768168025937752064,869432693016199168
19,768168025937752064,416987018
20,768168025937752064,2953767150
21,768168025937752064,376878448
22,1423771899222536193,1578151494330695680
23,1423771899222536193,1574070090659778565
24,1423771899222536193,1443997566719365129
25,1423771899222536193,1583694288638156801
26,1423771899222536193,838050284970467328
27,1423771899222536193,1563470342592507904
28,1423771899222536193,1331893482483372032
29,1423771899222536193,466536209
30,1502090100498661376,850946013263273987
31,1502090100498661376,1480873560285478915
32,1320633302525513728,850946013263273987
33,624845023,850946013263273987
34,624845023,1319151683507679232
35,624845023,1382941744946241538
36,624845023,1216033508738523136
37,624845023,1289092098965168129
38,624845023,919226783739781120
39,624845023,1276202322230603776
40,624845023,3186218533
41,1272032230827716609,850946013263273987
42,1272032230827716609,1268134854211715072
43,1272032230827716609,66136191
44,2889473923,1323486335194161152
45,2889473923,1255827719201275905
46,2889473923,1245727948876820481
47,2889473923,850946013263273987
48,2889473923,1154049997165363201
49,2889473923,1186192809885229056
50,2889473923,1200431379160457217
51,2889473923,957911272221065216
52,2889473923,876777770612699136
53,2889473923,387728244
54,1186503108735709184,3494701213
55,1186503108735709184,982925953251926017
56,1186503108735709184,1275248688684621824
57,1186503108735709184,1256866115013111808
58,1186503108735709184,794576240858435586
59,1186503108735709184,1243218821726359553
60,1186503108735709184,1248011043529297920
61,1186503108735709184,1160118122709278720
62,1186503108735709184,965240223926898690
63,1186503108735709184,494883978
64,1186503108735709184,1213044515516215297
65,1186503108735709184,1215725559134613504
66,1186503108735709184,1205178901846093824
67,1186503108735709184,1225443658859610117
68,1186503108735709184,1179675201891553280
69,1186503108735709184,1211556164325896192
70,1186503108735709184,1168049026228346881
71,1186503108735709184,1382079128
72,1186503108735709184,1001471560773844992
73,1186503108735709184,884764219706556416
74,1186503108735709184,3657335720
75,1186503108735709184,1018128774926397442
76,1186503108735709184,2214058680
77,1186503108735709184,721350140968046592
78,1186503108735709184,1195928871800991745
79,1186503108735709184,1168412846603923457
80,1186503108735709184,1181597809385934850
81,1186503108735709184,1114904594163757056
82,1186503108735709184,4729497019
83,1186503108735709184,830970335293894656
84,1186503108735709184,992591164984430592
85,1186503108735709184,1162991892851642368
86,1186503108735709184,327317601
87,1186503108735709184,1130461794361696256
88,1186503108735709184,1102984520213528577
89,1186503108735709184,1166543550898561025
90,1186503108735709184,1079408362847170566
91,1186503108735709184,955851805719588864
92,769066987918155777,926448312726593536
93,769066987918155777,1562778148206710785
94,769066987918155777,1525787719406092288
95,769066987918155777,1376045243691192323
96,769066987918155777,1371014394935533568
97,769066987918155777,1328556454530273282
98,769066987918155777,1330695543446618114
99,769066987918155777,1297114700929368064
100,769066987918155777,1275421878883057668
101,769066987918155777,1268559073135357952
102,769066987918155777,1249022896590041088
103,769066987918155777,1055469666334760961
104,769066987918155777,1200302067304169472
105,769066987918155777,1163466764774068227
106,769066987918155777,2477968636
107,769066987918155777,1129484920017965056
108,769066987918155777,3022457132
109,769066987918155777,1076807229901131776
110,769066987918155777,1036144302261301249
111,769066987918155777,1035526658843787264
112,769066987918155777,1007503828248231936
113,769066987918155777,846095339698446337
114,769066987918155777,922429435189526529
115,769066987918155777,2917613286
116,769066987918155777,991398532920754176
117,769066987918155777,955697694294491137
118,769066987918155777,954923677342035968
119,769066987918155777,710620920
120,769066987918155777,925941117358456832
121,769066987918155777,923435185697300480
122,769066987918155777,565132407
123,769066987918155777,922430942345617409
124,769066987918155777,918381492702658561
125,769066987918155777,792783199428546560
126,769066987918155777,734923269074235393
127,769066987918155777,862527817728307200
128,769066987918155777,856186008211263488
129,769066987918155777,4330460775
130,769066987918155777,823541657568153601
131,769066987918155777,856750879
132,769066987918155777,151432966
133,769066987918155777,782613147089678338
134,769066987918155777,770876016080347137
135,769066987918155777,3142266270
136,769066987918155777,2729919072
137,769066987918155777,765557239117672449
138,769066987918155777,4515744498
139,769066987918155777,759259875700535296
140,1203972326083006464,850946013263273987
141,1203972326083006464,1239079258443534336
142,1203972326083006464,1164926300370292736
143,1203972326083006464,985519608873467905
144,398056342,850946013263273987
145,398056342,1524977930698629121
146,398056342,1510077965366833152
147,398056342,1264004648823713792
148,398056342,1158600633739427840
149,398056342,1156164262512877568
150,398056342,1082686793596583936
151,398056342,1158622032327630849
152,398056342,1158657845853708290
153,398056342,1158731456446779398
154,398056342,1158341288476856321
155,398056342,1158412170985476097
156,398056342,1129105351746306049
157,398056342,1158663997152907264
158,398056342,1158584045954990081
159,398056342,1158625275355119616
160,398056342,1158590673039216640
161,398056342,1158609595998146567
162,398056342,1035764432960409600
163,398056342,1158588906222174213
164,398056342,987213980182573056
165,398056342,497769198
166,398056342,35927341
167,1148614255396024320,1366385933109526535
168,1148614255396024320,1268042531008245767
169,1148614255396024320,826235053797543936
170,1148614255396024320,1054213057851744256
